source,target,weight
dinner,restaurant,1980
food,give,3265
food,made,4127
food,two,3797
get,restaurant,3737
get,two,3175
give,restaurant,1540
give,star,2237
give,would,2922
made,restaurant,1969
restaurant,star,1552
restaurant,two,1967
restaurant,would,3858
two,would,2895
back,come,5336
back,excellent,1555
back,feel,1852
back,first,4262
come,definitely,2219
come,first,2198
come,nice,2273
come,place,5598
definitely,first,1919
definitely,like,3148
definitely,time,3932
excellent,place,2491
excellent,time,1806
feel,food,2442
feel,like,3354
feel,place,3072
feel,time,2395
first,food,4790
first,nice,2257
first,place,5217
first,time,6774
food,home,2277
food,nice,6252
food,waiter,1688
going,nice,1686
home,like,1983
home,time,2124
nice,time,4692
back,flavor,1833
back,salad,1914
back,staff,3364
burger,great,1995
flavor,great,2463
friendly,well,2478
great,staff,5863
staff,well,2513
always,staff,2397
everything,great,3315
everything,make,1617
great,huge,1719
great,need,2280
make,staff,2171
nice,staff,3143
another,even,1702
even,took,1739
right,went,1556
5,good,2378
5,like,1909
5,star,2320
cant,good,2956
cant,like,2349
cant,really,2008
found,good,1912
found,like,1582
give,good,3352
give,like,2867
good,local,1617
good,selection,2516
like,selection,1584
like,sweet,1832
love,much,1821
love,never,1679
much,never,1624
actually,good,1969
good,table,4293
great,right,3092
great,table,3267
come,get,4190
day,never,1744
day,nice,2138
disappointed,place,1705
get,nice,4123
never,nice,1719
5,food,2496
5,one,2014
5,place,2552
actually,food,1762
actually,place,1981
almost,food,1619
almost,good,1608
almost,place,1678
always,one,3361
always,restaurant,1755
always,thing,1710
anything,food,1852
anything,good,1808
anything,one,1618
anything,place,2015
area,nice,2011
area,restaurant,1806
area,staff,1596
around,food,3356
around,good,3422
around,nice,1649
around,place,3913
around,restaurant,1611
around,table,1501
could,good,4376
could,nice,2106
could,night,1564
could,place,4785
could,staff,1724
could,table,1739
could,u,2566
enjoyed,food,1954
enjoyed,good,1861
enjoyed,place,1729
find,food,2500
find,good,2636
find,place,3269
food,huge,1859
food,large,1981
food,quick,1581
food,room,1912
food,staff,5762
food,table,5155
food,u,5920
free,good,1570
