support,itemsets
0.041,"food, service, time"
0.037,"place, service, time"
0.036,"great, service, time"
0.04,"good, service, time"
0.024,"food, place, service, time"
0.025,"good, place, service, time"
0.028,"food, good, service, time"
0.051,"great, place, time"
0.035,"good, great, time"
0.021,"good, great, place, time"
0.085,"back, food"
0.074,"back, time"
0.086,"back, place"
0.078,"back, great"
0.075,"back, service"
0.096,"back, good"
0.065,"back, get"
0.063,"back, one"
0.044,"back, food, place"
0.047,"back, food, good"
0.025,"back, food, good, place"
0.029,"back, food, time"
0.036,"back, good, time"
0.035,"back, place, time"
0.031,"back, great, time"
0.024,"back, service, time"
0.045,"back, good, place"
0.038,"back, great, place"
0.036,"back, food, great"
0.035,"back, good, great"
0.021,"back, food, great, place"
0.037,"back, food, service"
0.036,"back, great, service"
0.03,"back, place, service"
0.035,"back, good, service"
0.023,"back, food, great, service"
0.02,"back, food, place, service"
0.032,"back, get, place"
0.031,"back, get, good"
0.03,"back, food, get"
0.029,"back, get, time"
0.028,"back, get, great"
0.026,"back, get, service"
0.035,"back, one, place"
0.033,"back, good, one"
0.03,"back, one, time"
0.028,"back, get, one"
0.027,"back, food, one"
0.025,"back, great, one"
0.023,"back, one, service"
0.065,"also, food"
0.061,"also, time"
0.05,"also, back"
0.049,"also, like"
0.03,"also, friendly"
0.074,"also, place"
0.058,"also, great"
0.044,"also, get"
0.072,"also, good"
0.065,"also, one"
0.05,"also, would"
0.028,"also, staff"
0.049,"also, service"
0.045,"also, really"
0.032,"also, go"
0.043,"also, food, place"
0.039,"also, food, good"
0.027,"also, food, one"
0.029,"also, food, good, place"
0.024,"also, food, one, place"
0.029,"also, food, time"
0.038,"also, place, time"
0.034,"also, one, time"
0.031,"also, good, time"
0.021,"also, food, good, time"
0.021,"also, food, place, time"
0.025,"also, one, place, time"
0.022,"also, good, one, time"
0.022,"also, good, place, time"
0.024,"also, back, food"
0.021,"also, back, time"
0.026,"also, back, one"
0.026,"also, back, place"
0.024,"also, back, good"
0.022,"also, back, great"
0.021,"also, back, would"
0.029,"also, food, like"
0.025,"also, like, time"
0.032,"also, like, place"
0.03,"also, good, like"
0.026,"also, like, one"
0.022,"also, great, like"
0.021,"also, like, would"
0.022,"also, food, like, place"
0.02,"also, food, good, like"
0.02,"also, good, like, place"
0.032,"also, great, place"
0.028,"also, food, great"
0.026,"also, great, time"
0.026,"also, great, one"
0.026,"also, good, great"
0.02,"also, food, great, place"
0.028,"also, food, get"
0.027,"also, get, place"
0.022,"also, get, great"
0.024,"also, get, good"
0.023,"also, get, time"
0.022,"also, get, one"
0.021,"also, back, get"
0.021,"also, get, would"
0.02,"also, get, like"
0.022,"also, food, get, place"
0.039,"also, good, place"
0.041,"also, one, place"
0.034,"also, good, one"
0.023,"also, good, one, place"
0.032,"also, one, would"
0.03,"also, place, would"
0.027,"also, time, would"
0.024,"also, food, would"
0.024,"also, good, would"
0.023,"also, one, place, would"
0.02,"also, place, time, would"
0.02,"also, one, time, would"
0.027,"also, food, service"
0.025,"also, place, service"
0.023,"also, one, service"
0.03,"also, good, service"
0.026,"also, great, service"
0.024,"also, service, time"
0.031,"also, good, really"
0.027,"also, place, really"
0.026,"also, one, really"
0.023,"also, great, really"
0.022,"also, food, really"
0.026,"also, really, time"
0.02,"also, one, place, really"
0.02,"also, good, one, really"
0.022,"also, go, place"
0.048,"love, time"
0.045,"food, love"
0.04,"like, love"
0.032,"friendly, love"
0.025,"also, love"
0.023,"back, love"
0.081,"love, place"
0.046,"good, love"
0.033,"go, love"
0.024,"love, staff"
0.037,"love, service"
0.058,"great, love"
0.023,"love, nice"
0.032,"love, would"
0.03,"love, one"
0.03,"get, love"
0.022,"love, well"
0.032,"love, really"
0.026,"best, love"
0.03,"love, place, time"
0.028,"food, love, place"
0.022,"food, good, love"
0.026,"like, love, place"
0.031,"good, love, place"
