antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'order', 'good'})",frozenset({'food'}),0.0499,0.3643,0.0319,0.6392785571142284,1.7548134974313159,1.0,0.013721429999999996,1.7623016666666664,0.4527301036452523,0.08344232278315458,0.43256025973608375,0.36342187531802556
"frozenset({'order', 'good'})",frozenset({'place'}),0.0499,0.3787,0.0261,0.5230460921843688,1.3811621129769445,1.0,0.007202870000000004,1.3026415966386555,0.2904662989699412,0.06484472049689442,0.2323291359799917,0.29598304081095916
"frozenset({'order', 'time'})",frozenset({'food'}),0.0498,0.3643,0.0292,0.5863453815261045,1.6095124389956204,1.0,0.01105786,1.5367893203883496,0.39854118671483724,0.07586386074305014,0.34929271909093046,0.3332495504940432
"frozenset({'order', 'like'})",frozenset({'food'}),0.0398,0.3643,0.0236,0.5929648241206029,1.6276827453214464,1.0,0.009100859999999999,1.561781481481481,0.4016138939980724,0.06202365308804205,0.35970555941576676,0.3288732986921982
"frozenset({'order', 'like'})",frozenset({'good'}),0.0398,0.3481,0.0209,0.5251256281407034,1.5085481991976541,1.0,0.007045619999999997,1.3727841269841266,0.35108415411860955,0.056948228882833775,0.2715533488889452,0.292582923234385
"frozenset({'order', 'like'})",frozenset({'place'}),0.0398,0.3787,0.0211,0.5301507537688442,1.3999227720328604,1.0,0.00602774,1.322339037433155,0.2975160190758047,0.05309511826874686,0.24376429063068447,0.29293384004787604
"frozenset({'order', 'food'})",frozenset({'place'}),0.0651,0.3787,0.0335,0.5145929339477726,1.3588405966405404,1.0,0.008846630000000001,1.27995664556962,0.28246711676402464,0.08164757494516209,0.21872353765937974,0.3015267283945359
"frozenset({'order', 'place'})",frozenset({'food'}),0.0555,0.3643,0.0335,0.6036036036036037,1.6568860927905673,1.0,0.01328135,1.6036977272727273,0.4197545886238474,0.08672016567434637,0.3764410942325054,0.34778039087674006
"frozenset({'order', 'go'})",frozenset({'place'}),0.038,0.3787,0.0204,0.5368421052631579,1.4175920392478425,1.0,0.006009400000000003,1.3414431818181818,0.30621458562635046,0.05147615442846329,0.25453421094987594,0.29535530137728794
"frozenset({'order', 'go'})",frozenset({'food'}),0.038,0.3643,0.023,0.6052631578947368,1.6614415533756157,1.0,0.009156599999999999,1.6104399999999999,0.41383892253457466,0.06063801740047456,0.37905168773751274,0.3341989684615051
"frozenset({'order', 'great'})",frozenset({'food'}),0.0374,0.3643,0.0222,0.5935828877005347,1.629379323910334,1.0,0.00857518,1.564156578947368,0.40127713418800054,0.05849802371541502,0.3606778161090683,0.3272608372073906
"frozenset({'order', 'service'})",frozenset({'food'}),0.0411,0.3643,0.026,0.6326034063260341,1.7364902726490092,1.0,0.011027269999999999,1.7302827814569535,0.44230448350273144,0.06852925672113865,0.42205978657548227,0.35198657826595414
"frozenset({'order', 'one'})",frozenset({'food'}),0.0407,0.3643,0.0234,0.5749385749385749,1.5782008645033623,1.0,0.00857299,1.4955485549132945,0.38191086627446474,0.061320754716981125,0.3313490246005583,0.31958567506193086
"frozenset({'order', 'one'})",frozenset({'place'}),0.0407,0.3787,0.0216,0.5307125307125308,1.40140620732118,1.0,0.006186910000000002,1.323921989528796,0.2985833613244226,0.05429864253393665,0.24466848658060647,0.2938748816752514
"frozenset({'order', 'one'})",frozenset({'time'}),0.0407,0.2747,0.021,0.515970515970516,1.8783054822370442,1.0,0.00981971,1.4984624365482235,0.4874442177579882,0.07133152173913045,0.3326492706059782,0.29620877454878186
"frozenset({'order', 'get'})",frozenset({'food'}),0.0413,0.3643,0.0244,0.5907990314769975,1.6217376653225295,1.0,0.00935441,1.5535153846153842,0.3998930416359585,0.06400839454354669,0.35629861802264834,0.32888839852740903
"frozenset({'order', 'get'})",frozenset({'place'}),0.0413,0.3787,0.0208,0.5036319612590798,1.3298969138079744,1.0,0.005159689999999998,1.251692195121951,0.25874832505556394,0.052104208416833664,0.20108154073568302,0.2792783518996746
"frozenset({'order', 'would'})",frozenset({'food'}),0.0373,0.3643,0.0218,0.5844504021447722,1.6043107387998137,1.0,0.00821161,1.5297812903225807,0.39127387327118013,0.0573986308583465,0.34631178566111714,0.3221455963510026
"frozenset({'good', 'experience'})",frozenset({'food'}),0.0382,0.3643,0.0203,0.5314136125654451,1.4587252609537333,1.0,0.006383739999999999,1.3566335195530725,0.32695981569860283,0.053113553113553105,0.2628812530524541,0.2935684587669388
"frozenset({'good', 'never'})",frozenset({'place'}),0.0383,0.3787,0.0205,0.5352480417754569,1.4133827350817454,1.0,0.005995790000000001,1.3368421348314605,0.3041255703188206,0.051702395964691054,0.2519685204819845,0.2946903002645439
"frozenset({'way', 'good'})",frozenset({'place'}),0.0419,0.3787,0.0217,0.5178997613365155,1.3675726467824545,1.0,0.005832470000000003,1.2887361386138612,0.2805316974792181,0.05439959889696666,0.22404597028249723,0.2876005276183502
"frozenset({'way', 'place'})",frozenset({'good'}),0.0432,0.3481,0.0217,0.5023148148148148,1.4430187153542509,1.0,0.006662079999999999,1.3098641860465114,0.3208698734645438,0.05871212121212121,0.2365620721196729,0.2823266116590592
"frozenset({'way', 'food'})",frozenset({'good'}),0.0387,0.3481,0.0214,0.5529715762273901,1.5885423045888827,1.0,0.007928529999999998,1.4582965317919072,0.38540731933295147,0.058565955117679244,0.31426840961403607,0.30722408170748994
"frozenset({'way', 'good'})",frozenset({'food'}),0.0419,0.3643,0.0214,0.5107398568019093,1.4019760000052408,1.0,0.006135829999999998,1.2993087804878045,0.29926002300113047,0.0556133056133056,0.23036000755373487,0.2847413256010644
"frozenset({'way', 'food'})",frozenset({'place'}),0.0387,0.3787,0.0203,0.524547803617571,1.3851275511422525,1.0,0.00564431,1.3067559782608693,0.2892383518009018,0.05112062452782674,0.23474618319261398,0.2890761199233881
"frozenset({'way', 'time'})",frozenset({'place'}),0.0385,0.3787,0.02,0.5194805194805195,1.3717468166900437,1.0,0.005420050000000001,1.2929756756756758,0.2818538741549662,0.05035246727089628,0.22659024542172795,0.2861463859615431
